题型,题目,选项1,选项2,选项3,选项4,选项5,选项6,答案,答案解析,分值
单选题,"【题库材料 A03】
年级阶段：小学（一年级）
学科：语文
主题：雨点儿

【对话 A】
［前段］
老师：刚才你说到‘没有花没有草’就像空花盆，那如果花盆里一直没有雨点儿去，会发生什么？课文里是怎么告诉我…
老师：课文里写大雨点儿去的地方，原来没有花没有草，后来长出了花和草。那你找一找，课文里是用哪一句话告诉我…
学生：老师，我从课文里找到了，就是最后那句‘没有花没有草的地方，开出了红的花，长出了绿的草’，这句话就告…
［中段］
学生：‘飘落下来’感觉是慢慢悠悠地飘下来，像羽毛一样轻，而‘落下来’就是直接掉下来，没有那种轻轻的感觉。
老师：课文里说雨点儿‘飘落下来’，那你能找一找，课文中还有哪些表示动作的词语，比如雨点儿到了地上之后做了…
学生：老师，我找到了，课文里说大雨点儿去了之后‘开出了红的花，长出了绿的草’，‘开出’和‘长出’就是雨点…
［后段］
学生：老师，我找到了，课文里写‘开出了红的花，长出了绿的草’，‘开出’和‘长出’就是写花草的动作。
老师：我们把刚才找到的‘飘落、开出、长出、喝足’这些动作词连起来想一想，雨点儿从天上到地上，花草从土里到…
学生：先雨点儿从天上飘落下来，接着种子喝足了水，最后种子钻出土来开出了花长出了草。

【对话 B】
［前段］
学生：课文里写“小花小草张开小嘴巴，咕咚咕咚地喝水”，它们是用小嘴巴喝的！
老师：你从课文里找到了“张开小嘴巴”和“咕咚咕咚地喝水”，那老师想问问你：小花小草为什么要张开小嘴巴才能…
学生：因为小花小草没有手，它们只能靠小嘴巴来喝水，张开小嘴巴才能把雨水喝进去，就像我们喝水的时候也要张开…
［中段］
学生：老师，您说得对，我也记住了！就像课文里的雨点儿一样，我喂小金鱼也要天天坚持，把这份耐心记在心里。
老师：那你觉得，耐心是什么样的一种感觉呢？是像喂小金鱼时那种惦记着它的感觉，还是别的什么？
学生：我觉得耐心就是心里一直惦记着它，就像我喂小金鱼的时候，就算放学回家很累了，也会先跑过去看看它，想它…
［后段］
老师：你发现了盼头是从天天看着小花小草长大的过程中慢慢变清楚的。那老师想问问你，雨点儿心里想着小花小草长…
学生：老师，我觉得盼头让雨点儿等待的时候心里不着急了！就像我攒零花钱的时候，想着最后能买到喜欢的玩具，等…
老师：说得真好啊！你发现了盼头让等待变得甜甜的——想着目标近了一步，心里就不着急了，反而觉得每一天都有滋…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A03：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A03：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A03：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A03：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【题库材料 A04】
年级阶段：小学（四年级）
学科：语文
主题：三月桃花水

【对话 A】
［前段］
老师：我们刚才从声音、颜色聊到首尾呼应，再到情感层层递进，大家试着把这条线索串起来，想想作者从‘看见’到…
学生：我觉得作者是按先总后分的顺序来写的：先总说桃花水是春天的竖琴和明镜，然后分别写听到的声音和看到的颜…
老师：同学们，刚才我们说到作者先总写桃花水是竖琴和明镜，再分写声音和颜色，最后总结。那你能从课文中找出一…
［中段］
学生：我知道‘茵’是指绿油油的草地、垫子一样的东西，‘眉’就是眉毛。作者说‘草如茵’是把草比作柔软的地毯…
老师：你刚才说‘茵’是垫子、‘眉’是眉毛，那作者为什么不直接写‘草很绿、柳叶很弯’，而非要绕个弯去比喻呢…
学生：因为直接写‘草很绿、柳叶很弯’只是告诉我们事实，但用‘草如茵、柳如眉’是让读者自己想象出画面来。作…
［后段］
学生：老师，我串成口诀了：先找形状像的比喻，再配上叠词拉长感觉，最后让耳朵和眼睛换着上班，这样景物就活起…
老师：你总结的这个口诀太棒了，把三步串得又清楚又好记！那老师想问问，你觉得这三步里哪一步最关键？少了它，…
学生：我觉得最关键的是第一步‘选形状’，因为比喻是地基，没有它，叠词和感官交错就像盖在沙子上的房子，立不…

【对话 B】
［前段］
学生：谢谢老师！您这么一说，我就更有信心了。以后读课文的时候，我都会试着先想想自己生活里有没有相似的情景…
老师：说得真好！你已经把联想这个方法真正学到手了——先回忆生活中的相似画面，再回到课文里去体会作者的感觉…
学生：老师，我现在觉得读课文就像在看电影一样，用您教的联想方法，每个句子都能变成我眼前的一幅画，这样读课…
［中段］
学生：老师，我觉得课文里写""三月的桃花水，是春天的竖琴""这句也需要停顿。读到""竖琴""前面停一下，就像吹竖…
老师：你找到了一个非常好的例子！那老师想请你沿着这个思路再看看，课文里描写桃花水像'明镜'的那一段，你觉…
学生：老师，我觉得""那纤细的低语，是在和刚刚从雪被里伸出头来的麦苗谈心""这句，读到""谈心""前面要停一下。…
［后段］
老师：你的理解非常准确！竖琴对应的是浪花敲打鼓点、急流催促播种这些有力量、有节奏的热闹画面；明镜对应的则…
学生：老师，那这两个比喻分别用了哪些具体的词语，才让竖琴听起来特别热闹、明镜看起来特别安静呢？就像我们刚…
老师：你这个问题提得特别好！我们来看竖琴这边——作者写'那急流的水声，是在催促着村民们开犁播种'，关键词…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A04：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A04：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A04：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A04：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【题库材料 A05】
年级阶段：小学（六年级）
学科：语文
主题：黑孩子罗伯特

【对话 A】
［前段］
老师：你刚才说少了‘丽莎是我朋友’这句话，态度就不会转变得这么大——那老师想质疑一下：万一丽莎爸爸是被罗…
学生：课文里写罗伯特捐钱的时候，是‘把钱放在桌子上转身就走’的，没有多说什么。但丽莎爸爸是在看到钱数之后…
老师：你的分析注意到了课文的顺序——先写放钱，再写说话，最后才有谢谢。那我们把这两处细节连起来看：课文为…
［中段］
老师：你刚才说‘沉默来承受’，那老师想追问：罗伯特这种沉默和他在丽莎爸爸面前开口说‘丽莎是我朋友’，两种…
学生：我觉得这两个地方正好相反，被嘲笑时沉默是保护自己，因为说话只会引来更多嘲笑；但面对丽莎爸爸时开口说…
老师：你刚才对比了沉默和开口两种表现，那课文里有没有一处，既写了罗伯特‘沉默’又写了‘开口’的细节？比如…
［后段］
学生：我觉得‘低头’出现在他刚听到罗伯特那句话之后，是转变的开头；‘摸头’是后面才出现的，是他真正接纳罗…
老师：你注意到‘低头’在前‘摸头’在后，这个顺序很重要。那老师提醒你：我们前面归纳过作者写人物转变有‘停…
学生：我觉得正好对应，低头就是那个缓慢动作，因为前面他愣住了是停顿，低头是在慢慢消化；摸头就是情感表达，…

【对话 B】
［前段］
学生：我觉得最根本的不同是，其他白人孩子看到的是罗伯特的黑皮肤，所以叫他‘小黑孩’，处处排斥他；但丽莎看…
老师：你刚才把丽莎和其他白人孩子的区别抓得很准。那老师想问：这些白人孩子为什么都把罗伯特的肤色看得那么重…
学生：课文里写丽莎的爸爸是个医生，家里条件很好，可她妈妈告诉她不能因为肤色就看不起人，所以她从小就知道要…
［中段］
学生：我听了老师说的，觉得丽莎真的很了不起。因为当时周围那么多人都有这种错误的想法，连罗伯特自己可能都觉…
老师：你刚才说到‘丽莎心里有一杆自己的秤’，这个比喻很贴切。那老师想补充一点背景知识：在罗伯特生活的那个…
学生：我明白了，丽莎能不受环境影响，是因为她妈妈从小就教她‘看人心’，所以她心里早就有了自己的判断标准。…
［后段］
老师：你说得很对，罗伯特看到丽莎跳起来、亲一亲洋娃娃，就感到自己的心意被收到了。这种满足感，其实来源于他…
学生：老师说得对，我觉得这种快乐就像我们给朋友准备惊喜一样，如果对方只是随口说声谢谢，我们可能觉得一般般…
老师：你说得很形象，善意被完完整整地接住了。那我们回到课文里看看，罗伯特这份善意被接纳之后，他的心情在哪…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A05：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A05：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A05：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A05：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【题库材料 A06】
年级阶段：小学（六年级）
学科：语文
主题：藏戏

【对话 A】
［前段］
学生：我来总结：藏戏‘活’在三个方面——首先，形式活，面具、舞台、时间都跟高原生活紧紧连在一起；其次，故…
老师：刚才我们顺着线索梳理出了藏戏‘活’在形式、故事和传承三个方面，那如果让你选其中一个方面作为‘藏戏最…
学生：我会选传承这个方面，因为唐东杰布为了修桥去组戏班子，这个故事本身就特别打动我。就像我们学校的大队委…
［中段］
老师：我们把刚才的思路连起来：你从‘老树’想到‘换新枝’，又从合唱团类比到‘核心不变、吸收新元素’，那能…
学生：我觉得唱腔和动作的固定程式不能变，因为那是藏戏的根，变了就不是藏戏了；但是表现的内容可以跟着生活变…
老师：你说‘表现内容可以跟着生活变’，那如果新编的故事越来越多，会不会有一天大家只记得新故事、反而把老故…
［后段］
学生：课文里说过，藏戏演出的时候观众是围成圆圈看的，我觉得这跟他们放牧、聚会时的习惯有关系，大家本来就有…
老师：如果让你把‘围成一圈看戏’和‘圆形剧场’这两个形式，跟咱们刚才说的‘变与不变’再对应一下，你会觉得…
学生：我觉得‘围成一圈看戏’是根，因为那是藏族人民围坐相聚的生活习惯长出来的，就像一家人围着火塘聊天一样…

【对话 B】
［前段］
学生：我觉得是的！白色代表纯洁善良，红色代表威严正义，黄色代表功德圆满，这些颜色加在一起，就像在告诉我们…
老师：你总结得非常好。其实在藏传佛教文化中，这几种颜色还有一层更深的内涵：它们合在一起，象征着宇宙的构成…
学生：老师，听您这么一说，我忽然觉得藏戏的面具就像一幅小小的画，把整个宇宙都装进去了！每种颜色不是一个单…
［中段］
学生：我觉得面具的颜色是固定的，就像字典里的字一样，每种颜色代表什么意思早就定好了，观众一看就懂；但甩袖…
老师：你对比得很到位——颜色是‘约定俗成’的符号，动作是‘现场即兴’的表达。其实这正是藏戏两种‘借物抒情…
学生：我觉得面具偏‘静’，更适合表达那种长久的、庄严的情感，比如对天地的敬畏，因为颜色摆在那里，一看就懂…
［后段］
老师：你说得很准——先有原因才有结果。那你能不能结合课文具体说说，先写江水凶险这个‘原因’，到底是怎么一…
学生：我觉得先是江水把牛皮船像树叶一样掀翻，百姓被吞噬，唐东杰布看到这种惨状，心里先是害怕和心疼，接着就…
老师：你把这个链条说得很完整——江水越凶险，唐东杰布的心疼就越深，誓言也就越有力量。那你再品一品：课文里…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A06：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A06：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A06：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A06：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【题库材料 A07】
年级阶段：小学（四年级）
学科：数学
主题：角的度量

【对话 A】
［前段］
学生：老师，我记住了，所以只要度数相同，角就一定相同，不管它的边画得长还是短，角的大小都不会变。
老师：非常棒！你这句话说到了点子上——‘只要度数相同，角就一定相同’，这就是角的度量的核心。你已经真正理…
学生：老师，我觉得这个道理就像称东西一样，不管苹果大还是小，只要称出来是500克，那它们就一样重。角也一…
［中段］
学生：老师，我觉得量角器上的刻度和尺子上的刻度就像两种不同的尺子，一把是用来量“张开了多少”的，一把是用…
老师：你说得很对！量角器这把‘尺子’量的是角叉开的程度，尺子这把‘尺子’量的是边的长短——这就是它们最根…
学生：老师，我觉得这就像用温度计测体温和用尺子量身高一样，温度计不能量身高，尺子也不能测体温，因为它们量…
［后段］
老师：你这个比喻太妙了！内圈和外圈就像两扇门各自的门轴方向——看哪边开就往哪边看刻度。这样一来，选内圈还…
学生：老师，我同意您的说法！就像门轴方向决定看哪边的刻度一样，我觉得选内圈外圈的时候，只要先看清楚角的两…
老师：你把方法说得很好——先看角的两条边朝着哪个方向，再顺着方向找刻度。那老师帮你把这一步再往前推一推：…

【对话 B】
［前段］
老师：你提出的这个操作难点很实际。我们可以把角的一条边想象成一条射线，它是从顶点出发无限延伸的。量角时，…
学生：哦我明白了！所以延长边只是为了帮我们看得更清楚，角本身的大小没有变，因为角的大小看的是方向，不是画…
老师：为什么我们在读数时要‘从0度那边开始数’，而不是从180度那边倒着数？这和量角器内圈外圈的0度位置…
［中段］
学生：如果正好落在两条刻度线中间，我觉得应该先看离哪条刻度线更近，然后估一个大概的数，比如离40度近就读…
老师：你刚才提到'离哪条刻度线更近就读哪个数'，这其实是一种估读方法。但量角器上每小格是1度，如果角的一…
学生：可是老师，如果每次都估读，那万一有人估成45度，有人估成46度，这样量同一个角会不会得到不同的答案…
［后段］
学生：所以不管内圈外圈，只要记住角的两条边夹了多少个小格，结果都是一样的，方向不同只是方便我们从不同方向…
老师：你刚才说不管内外圈，只要数夹了多少个小格结果都一样。那你还记得量角器上一个大格是多少度吗？一个大格…
学生：量角器上一个大格是10度，因为一个大格里包含了10个小格，每个小格是1度，所以10个小格加起来就是…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A07：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A07：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A07：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A07：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【题库材料 A08】
年级阶段：初中（初三）
学科：语文
主题：阅读

【对话 A】
［前段］
学生：如果先讲道理再讲故事，我觉得就像先告诉我答案再让我猜题目，比如父亲先说‘爱是责任’，我可能就带着这…
老师：那既然我们看到了‘先叙事、后点题’这种结构，大家还记不记得我们学过的哪篇课文也用了类似的手法？比如…
学生：可是《背影》里父亲的爱是无声的，作者是后来回忆时才明白的，而苏霍姆林斯基是主动把道理讲给女儿听，一…
［中段］
学生：我觉得会跟着变形。如果第二步的故事换了，比如换成父亲自己年轻时的恋爱经历，那倾诉对象可能就不再是女…
老师：你刚才说故事是‘承重墙’，那在《背影》里朱自清写父亲爬月台买橘子，和这里奶奶临终讲‘爱情’，这两个…
学生：我觉得《背影》里的故事是让情感自己浮现的，父亲爬月台的动作没有一句解释，但苏霍姆林斯基转述奶奶的话…
［后段］
老师：你刚才把‘保护自己’和‘约束后主’说成一体两面，这其实已经触及了‘话语的多重指向’——试着把这条思…
学生：因为‘看对象定方式’只考虑了作者和收信人两个人的关系，但《出师表》里其实还有一群隐形的听众，就是朝…
老师：你提到了‘双重听众’，那在《出师表》里，诸葛亮对后主说话时用‘先帝’、对大臣说话时也用‘先帝’，这…

【对话 B】
［前段］
学生：我觉得这个顺序是不能打乱的。因为如果没有真诚开启，两个人之间就根本没有信任的基础，那后面谈什么坚守…
老师：你这个“地基”的比喻非常贴切。我们可以顺着这个比喻把因果链补完整：正因为‘真诚开启’奠定了信任的地…
学生：老师，听您这么一说，我觉得这种环环相扣的关系其实很像我们学习的过程。就像初三这一年，先得把基础知识…
［中段］
学生：老师，您刚才说这种排他性不是封闭，而是情感成熟的标志。那我想问，这种""不需要任何人""的排他性，具体…
老师：你这个问题问到了关键处。这种排他性既不是简单的自足感，也不是停留在默契层面的心领神会。它更像是一种…
学生：老师，听您这么一说，我理解了，这种排他性不是自足感也不是默契，而是爱已经长进生命里之后自然流露出的…
［后段］
学生：我觉得是习惯和责任一起撑住的。习惯让他们不用刻意去想就知道该为对方做什么，就像每天起床先给对方倒杯…
老师：你用‘两根线’这个比喻把习惯和责任的分工讲得很清楚——习惯让方向不费力，责任让方向不丢失。那老师想…
学生：我想到了他们收果子的时候，习惯这根线是——他们不用商量就知道对方在哪个位置、该接谁手里的筐；责任这…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A08：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A08：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A08：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A08：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
